localID,id,TweetText,time,impressions,engagements,retweets,replies,likes,year,month,day,hour,effective
30,92800030,@PeteButtigieg He may be a rescue that we found on craigslist because he came with a crate and it's all that we could afford.  And I feel guilty taking a service dog... because others need them more than me.,2019-06-30 04:30 +0000,68,0,0,0,0,2019,6,30,4,no
31,92800031,"@seanhannity It's silly, I know.  But I bet people REALLY would want to see that.  Oh and my dog scout!  He is officially a service dog in training!  I have a letter and EVERYTHING!  And guess what?  I have a trainer lined up!",2019-06-30 04:28 +0000,54,0,0,0,0,2019,6,30,4,no
32,92800032,@seanhannity I think you would have a HUGE spike in ratings if you and I sat down and played a game.  You know how people have staring contests.  And the first who blinks loses?  I dare you to a listening contest.  30 seconds.  See who speaks first.,2019-06-30 04:26 +0000,33,0,0,0,0,2019,6,30,4,no
33,92800033,"@PeteButtigieg And I DEFINETLY don't do mean things like pick on @seanhannity.  Sorry, Sean... my brain was all buzzy.  And I was a little too honest.  But you should invite me onto your show.  Because I want a contest with you!",2019-06-30 04:25 +0000,56,1,0,0,0,2019,6,30,4,yes
34,92800034,"@PeteButtigieg I told her that you would trust me enough that I can ask to work just 10 hours a week... because that makes my brain nicer.  And yes, when my brain is calm I don't say stupid things.",2019-06-30 04:23 +0000,39,1,0,0,0,2019,6,30,4,yes
35,92800035,"@PeteButtigieg So I came up with a REALLY good idea to convince you to hire me.  And yeah, my girlfriend thinks I am going to have to move.  And I told her that you would ACTUALLY believe me.",2019-06-30 04:22 +0000,43,0,0,0,0,2019,6,30,4,no
36,92800036,@PeteButtigieg I am a REALLY good Analyst.  Like REALLY good.  But no one believes me.  Because my resume and job history is spotty.  Because I have a brain injury.  But you will!,2019-06-30 04:21 +0000,56,2,0,0,0,2019,6,30,4,yes
37,92800037,"@PeteButtigieg Do you want to know the reason I trust that I can be a little silly and tweet at him like I know him?  Because I have a REALLY crazy secret.  Twitter.  I can't get anyone to listen to me.  And if I said it, people would think I am weird.",2019-06-30 04:20 +0000,33,1,0,0,0,2019,6,30,4,yes
38,92800038,"@PeteButtigieg I say CRAZY stuff like... Hey, I have some ideas that would help Pete Buttigieg get elected.  No, these aren't my ideas.  I just think that maybe he would trust me enough to listen to what I might say.",2019-06-30 04:16 +0000,54,2,0,0,0,2019,6,30,4,yes
39,92800039,@PeteButtigieg So I was super scared because I was worried that the VA wouldn't believe me.  Because I couldn't PROVE that I have a disability that is service connected.  How can I prove a negative?,2019-06-30 04:15 +0000,44,0,0,0,0,2019,6,30,4,no
40,92800040,@PeteButtigieg My stress feeling is mostly broken.  I either feel ZERO stress.  And that's when people like me most.  But when I get stressed... I go crazy and I do stupid shit.  And EVERYONE wants to just medicate me.,2019-06-30 04:13 +0000,45,0,0,0,0,2019,6,30,4,no
41,92800041,"@PeteButtigieg So, sorry about that. I feel a feeling and my brain gets stressed out.  And when I talk about stress, people yell at me about how EVERYONE feels stress.",2019-06-30 04:12 +0000,37,0,0,0,0,2019,6,30,4,no
42,92800042,@PeteButtigieg And everyone sees that I am broken and that they want to fix me.  And maybe that works on whole people.  But when I am this broken... I don't want to be fixed.  I don't want to be touched.,2019-06-30 04:11 +0000,29,0,0,0,0,2019,6,30,4,no
43,92800043,@PeteButtigieg Sorry pete.  I started to get a little too excited.  When I start to feel anything... I get scared and I talk too much.  Because I don't know how to feel anything unless I get a chance to talk about it.,2019-06-30 04:10 +0000,37,2,0,0,0,2019,6,30,4,yes
44,92800044,"@PeteButtigieg I am brain damaged and I don't know what it means to forgive.  I don't even know what forgiveness means.  I just learned that people seem happier when I say ""I forgive you.""",2019-06-30 04:08 +0000,41,0,0,0,0,2019,6,30,4,no
45,92800045,"@PeteButtigieg I haven't seen my son in 3 years.  Because my exwife doesn't think I am safe.  But here is the deal Pete.  I couldn't have been any safer.  And I tried to tell everyone, Pete.",2019-06-30 04:07 +0000,37,1,0,0,0,2019,6,30,4,yes
46,92800046,"@PeteButtigieg Pete, have you seen my new and updated wall paper.  Because I think there is truth to it.  The worst part of my brain injury is that I AM SO SCARED TO TRUST ANYONE.  And I can't tell anyone about it.",2019-06-30 04:06 +0000,53,0,0,0,0,2019,6,30,4,no
47,92800047,"@PeteButtigieg Pete, did you know I once represented myself in court... and got everything I wanted.  It was a FULL day trial.  Pete, I wish you would read my transcripts... because I REALLY did it!",2019-06-30 04:05 +0000,60,0,0,0,0,2019,6,30,4,no
48,92800048,"@PeteButtigieg Because when I tried to just be me... EVERYONE told me that I couldn't do that.  That it was crazy.  And, yeah... some of them WERE crazy.  That's why I have my friends to talk to.",2019-06-30 04:04 +0000,28,0,0,0,0,2019,6,30,4,no
49,92800049,@PeteButtigieg I get anxious about money.  Did you know I applied for disability and my application just got lost?  I filed an intent to file... but then got super confused about the paper work.  And I wanted to do it but I just couldn't.,2019-06-30 04:03 +0000,35,0,0,0,0,2019,6,30,4,no
50,92800050,@PeteButtigieg So here was my crazy plan to get hired.  Because it's completely crazy.  If any of my doctors new what I was doing... they would think I had TRULY flipped my lid.   Me or the Experts... who knows me better than me?,2019-06-30 04:02 +0000,54,2,0,0,0,2019,6,30,4,yes
51,92800051,@PeteButtigieg You and I want to do the right thing SO bad... we were willing to do something CRAZY.  We dared to dream.  We dared to dream big!,2019-06-30 04:01 +0000,34,0,0,0,0,2019,6,30,4,no
52,92800052,"@PeteButtigieg Pete, you inspired me to an idea.  I still pick you.  We were in the Navy both and you probably get me.  We are under dogs.  We step up when no one else will.  Not for control.  Not for power.  Not for prestige.",2019-06-30 04:00 +0000,62,0,0,0,0,2019,6,30,4,no
53,92800053,"@PeteButtigieg Maybe that's what I like most about you, Pete.  You are reaching for your dreams.  If we accept the status quo, no one would be BOLD enough to step into leadership.",2019-06-30 03:58 +0000,52,0,0,0,0,2019,6,30,3,no
54,92800054,@PeteButtigieg So I made up a fantasy where I might actually be of GREAT service to an organizations.  Because when I listen to my inner child.  My inner child tells me to be bold!,2019-06-30 03:57 +0000,45,0,0,0,0,2019,6,30,3,no
55,92800055,@PeteButtigieg Pete... My childhood was stolen.  And I didn't blame anyone else.  Because I knew the truth.  It was MY fault.  And if anyone found out... I would suffer through unspeakable cruelty.,2019-06-30 03:56 +0000,42,0,0,0,0,2019,6,30,3,no
56,92800056,@PeteButtigieg And people might believe I have these DELUSIONS of GRANDEUR... because I am Crazy and believe that my friend Pete would hire me.,2019-06-30 03:55 +0000,31,0,0,0,0,2019,6,30,3,no
57,92800057,"@PeteButtigieg I was a prisoner in my own mind, and I don't want that anymore.  The lonliness... the isolation... it broke me.  I forgot how to feel my feelings.  But I also learned that I had to learn how to fake emotions.",2019-06-30 03:54 +0000,59,4,0,0,0,2019,6,30,3,yes
58,92800058,@PeteButtigieg My sister is the only person I trusted enough to call after my attempt.  She was the only person who understood me.  Or so I hoped.,2019-06-30 03:52 +0000,45,0,0,0,0,2019,6,30,3,no
59,92800059,"@PeteButtigieg And I learned to just not feel my feelings.  Because if I felt a feeling, I would be so sad.  It felt like I was locked in a room in my mind.  And when I looked out and saw everyone playing.",2019-06-30 03:52 +0000,34,1,0,0,0,2019,6,30,3,yes
60,92800060,@PeteButtigieg I was told that if anyone ever found out... That I would go to prison... and I was LUCKY that I was only being disciplined by him.,2019-06-30 03:50 +0000,27,0,0,0,0,2019,6,30,3,no
61,92800061,"@PeteButtigieg And I trusted them.  And they also violated that trust.  My abuser told me that I couldn't trust my parents, Pete.  That it was my fault.  That I was a bad little boy.",2019-06-30 03:49 +0000,42,0,0,0,0,2019,6,30,3,no
62,92800062,"@PeteButtigieg I suffered some things that shouldn't happen to a child.  And when I joined the military, I was told that FINALLY I could trust someone.",2019-06-30 03:48 +0000,38,0,0,0,0,2019,6,30,3,no
63,92800063,@PeteButtigieg I was so scared.  And I am sorry.  Can I tell you a secret?  I am scared to trust anyone.  And I TRULY don't trust the system.  Because they let me down.,2019-06-30 03:47 +0000,36,0,0,0,0,2019,6,30,3,no
64,92800064,@PeteButtigieg Because I don't know how to be smart and happy at the same time.  My brain is SO smart... I do crazy things.  Like decide that tell the President that is isn't that bad.,2019-06-30 03:46 +0000,49,0,0,0,0,2019,6,30,3,no
65,92800065,"@PeteButtigieg ... I have a secret they don't know about me... Pete.  I was dead inside when I tried to die.  I was so scared that no one would believe me.  I was really scared, Pete... I am sorry.  I hope no one got scared.",2019-06-30 03:44 +0000,27,0,0,0,0,2019,6,30,3,no
66,92800066,@PeteButtigieg And I TRY SO HARD... To be eloquent and witty and clever... becuase that's when he like me best.  When I am smart.  He even called super smart like Winston Churchill.,2019-06-30 03:43 +0000,33,0,0,0,0,2019,6,30,3,no
67,92800067,@PeteButtigieg I sometimes kinda get scared that no one will hire me because of my PTSD.  I haven't slept real well in weeks.  I tell him that I sleep a lot more than I do... because he worries and thinks I am bipolar.,2019-06-30 03:41 +0000,32,0,0,0,0,2019,6,30,3,no
68,92800068,"@PeteButtigieg Hey, Pete!  

I am sorry about blowing up your twitter the other night.  When I don't get enough sleep... well... People frustrate me.  And... I try to not get so stressed.  But the truth is...",2019-06-30 03:40 +0000,44,0,0,0,0,2019,6,30,3,no
69,92800069,"@erinsorensen Hey, what do you do for your dogs during 4th of July?  I just got my dog and I was curious!",2019-06-29 09:38 +0000,172,5,0,2,1,2019,6,29,9,yes
70,92800070,"@PeteButtigieg Do you like my picture of Scout?  He is kinda all American.

Don't you think? https://t.co/LujkUxFfIB",2019-06-29 06:34 +0000,125,6,0,0,1,2019,6,29,6,yes
71,92800071,"@rcbregman Hey, Rutger Bregman.  Can I follow you?  I think you are kinda interesting.

Thanks!  

And what is @The_Corres ?",2019-06-29 06:20 +0000,130,1,0,0,0,2019,6,29,6,yes
72,92800072,"@FauxPelini Oh, yeah.  And I completely like your honesty.  And, obviously.  Go Big Red!!!",2019-06-29 06:11 +0000,18,0,0,0,0,2019,6,29,6,no
73,92800073,@FauxPelini Hey!  I like your cat in a hat!  And your sweater is the best.  But why are you so confused in your pictures?,2019-06-29 06:09 +0000,31,0,0,0,0,2019,6,29,6,no
74,92800074,"How did it go unnoticed?  I have some ideas... but I can't prove them.  I would need experts to help me figure that out.  But guess what twitter, I have a bunch of experts with me.  A team of experts.",2019-06-28 23:19 +0000,337,0,0,0,0,2019,6,28,23,yes
75,92800075,"https://t.co/BJsYD0LDWD

I experienced a psychotic break when I was a child.  And even though I was surrounded by an ocean of loving people.  No one knew.  Because I was a young child.",2019-06-28 23:18 +0000,331,0,0,0,0,2019,6,28,23,yes
76,92800076,I could admit.  Fully.  For the whole world to see.  I have an invisible disability.  You could call it a brain injury.,2019-06-28 23:17 +0000,313,0,0,0,0,2019,6,28,23,yes
77,92800077,I would rather look like a jackass for the entire world to see... than admit one of the many things that terrify me.  And once I realized... that I have NOTHING to worry about.,2019-06-28 23:15 +0000,318,0,0,0,0,2019,6,28,23,yes
78,92800078,"So I can even do that.  Because here is my truth, twitter.  I am disabled.",2019-06-28 23:15 +0000,305,1,0,0,1,2019,6,28,23,yes
79,92800079,"I told Trump what I thought of him.  I told congress my feelings on them.  I even told Sean Hannity that I don't think very highly of him.

Are you ready for something funny?  THEY ARE TERRIBLE LISTENERS!!!",2019-06-28 23:14 +0000,316,0,0,0,0,2019,6,28,23,yes
80,92800080,And guess what I learned... no one actually paid attention.  I streamed ALL my ridiculous thoughts... my most bold and just out there stuff.,2019-06-28 23:13 +0000,285,0,0,0,0,2019,6,28,23,no
81,92800081,"So I did the most impulsive thing I could think of.  I tweeted all my thoughts for a bit...  COMPLETE stream of consciousness.  Whatever thought came into my brain, I put it out there for the WHOLE world to see.",2019-06-28 23:12 +0000,306,0,0,0,0,2019,6,28,23,yes
82,92800082,"So, for just for a few hours, I was willing to feel what it felt like to be crazy.  And I wanted to know that it was actually okay to sometimes be a little crazy... as long as I don't do anything rash.",2019-06-28 23:11 +0000,291,0,0,0,0,2019,6,28,23,no
83,92800083,"So, this account is actually an experiment.  I am doing the scariest thing I can think of in the world.  I am learning to trust.",2019-06-28 23:10 +0000,311,0,0,0,0,2019,6,28,23,yes
84,92800084,"Okay, twitter.  Thank you for letting me have a moment of... well, a little craziness.  
That whole goofiness was a huge trust exercise.  I needed to know that I could trust you.  That there wasn't anything that I could do that was SO crazy that it ruined my life.",2019-06-28 23:07 +0000,242,0,0,0,0,2019,6,28,23,no
85,92800085,oh... and @PeteButtigieg ... I apparently don't have any new followers and likes.  I don't think this Twitter thing is working as intended.  UGH.  Social media is kind of a problem.  Great in theory... in practice... not entirely sold on it.,2019-06-28 16:36 +0000,275,0,0,0,0,2019,6,28,16,no
86,92800086,"@PeteButtigieg Sorry if I got a little bit grumpy.  On the plus side, I think your Twitter will likely be trending.  Hopefully for good!  Be the change you want to see in the world! (That is SO not my quote, but I have to catch a bus and don't have time t",2019-06-28 16:29 +0000,32,0,0,0,0,2019,6,28,16,no
87,92800087,"@seanhannity I was nearly done with you, but I had one more.  The reason I said I am just some average person is... because I actually know what humility feels like.  Stop trying to humiliate people.  It hurts them.  People HATE to be humiliated.  #LifeGo",2019-06-28 16:25 +0000,11,0,0,0,0,2019,6,28,16,no
88,92800088,Oh and @seanhannity I am sorry if I hurt your feelings.  I know how you talk all about the snow flakes and so I expect you to be tough.  But in case it was all a facade.  I am sorry.  I just want you stop lying for a little bit.  Please?,2019-06-28 16:15 +0000,281,1,0,0,0,2019,6,28,16,yes
89,92800089,Oh and people who are not sure if we should trust the government and wish someone spoke truth to power.  I am some random guy who one day couldn't take it anymore.  This is for you!,2019-06-28 16:13 +0000,273,0,0,0,0,2019,6,28,16,no
90,92800090,@seanhannity I kinda wanna see if you are actually dumb enough to debate a disabled veteran about things you are clueless about.  Which is A LOT.,2019-06-28 16:08 +0000,14,0,0,0,0,2019,6,28,16,no
91,92800091,"@seanhannity George Washington, George Takei, George Conway and George Castanza.  So... here is some math that will make your head explode... 4 out of 3 Georges would agree with me.  That's like 133.33 percent of the Georges.  Because... MATH.  DUH.",2019-06-28 16:07 +0000,39,0,0,0,0,2019,6,28,16,no
92,92800092,@seanhannity And I am tired of people scaring the heck out of us for money.  It's cheap.  It's pathetic.  It's lame.  And I would bet you three Georges would agree with me!  Which three?,2019-06-28 16:04 +0000,12,2,0,0,0,2019,6,28,16,yes
93,92800093,@seanhannity I can say that because I WAS ACTUALLY HOMELESS for 3 years.  Why should I care about what you say?  You don't talk to be interesting.  You scare the crap out of people for better ratings.,2019-06-28 16:03 +0000,14,0,0,0,0,2019,6,28,16,no
94,92800094,"oh and @seanhannity 

WHEN WILL YOUR 15 minutes of fame ever end.  DO US A FAVOR AND BE INTERESTING ALREADY.  I would rather talk to homeless people than listen to you.",2019-06-28 16:03 +0000,239,0,0,0,0,2019,6,28,16,no
95,92800095,"@potus Or you could turn your account over to @seanhannity 

And I watched a few episodes of the apprentice.  I doubt you actually respect people who lick your boots for 15 minutes of fame.",2019-06-28 16:02 +0000,23,0,0,0,0,2019,6,28,16,no
96,92800096,@POTUS But I would only take the job if you ACTUALLY listened to my suggestions.  Let's face it.  If a group of generals couldn't hold your attention.  Maybe I would.  Because I am probably funnier than a lot of your generals.,2019-06-28 16:01 +0000,12,0,0,0,0,2019,6,28,16,no
97,92800097,@POTUS And I would be entertaining!  Because you can give me fun ideas... and I can make them friendly for the world.  And you can be wacky and irreverent.  But also... not scary.,2019-06-28 16:00 +0000,15,0,0,0,0,2019,6,28,16,no
98,92800098,@potus Here is the thing about Obama.  We miss him.  Because he didn't scare the crap out of a lot of us every other day.  At a minimum... I don't know... turn your twitter account over to someone who is seriously less afraid to look crazy than you.,2019-06-28 15:59 +0000,27,0,0,0,0,2019,6,28,15,no
99,92800099,"@POTUS Hey, Mr. Trump.  Please help us feel a little less anxious and let us know that you will respect the fact that there are term limits in place.  And be grateful for that.  Otherwise we would have had a third term of Obama.  I am not saying he was a",2019-06-28 15:57 +0000,18,0,0,0,0,2019,6,28,15,no
100,92800100,"@JoeBiden Am I right?  I only say this because I trust you can take a joke. @BarackObama Can I make a weed joke?
Apologies suck.  I should tell you about time I tried my best to apologize but royally messed it up.  My friends still forgave me.  But boy, d",2019-06-28 15:44 +0000,50,0,0,0,0,2019,6,28,15,no
101,92800101,I figured out how to retweet a tweet!  So I don't know how to make amends... but I am willing to listen.  That's honestly all I can think of to do.  I am not here to tell you what to do or how to feel.  Just listen. https://t.co/Ot0MtKE3ga,2019-06-28 15:41 +0000,239,0,0,0,0,2019,6,28,15,no
102,92800102,"@PeteButtigieg Hey, I forgot to tell you.  Thank you for being bold and admitting you don't have all the answers.  You are only ONE person.  If it takes a village to raise a child, how many people does it take to mindfully tend to a nation?

(oh, you are",2019-06-28 15:39 +0000,22,0,0,0,0,2019,6,28,15,no
103,92800103,"And to anyone I have ever hurt, I am really sorry.  I had an undiagnosed disability.  I didn't know that my PTSD came across as scary or weird.  Until I gave up trying to be what everyone wanted me to be.  I sincerely apologize.  I don't know how to make amends.",2019-06-28 15:28 +0000,253,0,0,0,0,2019,6,28,15,no
104,92800104,"Oh and for all the softies in the world.  I wrote a note to my girlfriend and slipped it into her purse.  I also did the same thing for my mom because... she is ABSOLUTELY amazing and she is getting married soon.  So, yeah.  There's that.",2019-06-28 15:19 +0000,242,0,0,0,0,2019,6,28,15,no
105,92800105,"https://t.co/dytMtvolSx

This one is for all the nerds of the world.  I wanted to say hello!",2019-06-28 15:07 +0000,209,0,0,0,0,2019,6,28,15,no
106,92800106,"@PeteButtigieg DREAMS ARE AMAZING!  Seriously though, future wife.  Goodnight.",2019-06-28 11:11 +0000,36,0,0,0,0,2019,6,28,11,no
107,92800107,@PeteButtigieg And that only matters because they are Canadian.  I am SO excited about tomorrow.  I bet you follow me back soon and send me a DM back.  And tell me to get in touch with your HR person.,2019-06-28 11:10 +0000,40,3,0,0,0,2019,6,28,11,yes
108,92800108,"@PeteButtigieg Oh, one last thing.  I am an American.  But @WalkOffTheEarth is by far my favorite band because they are SERIOUSLY FUN.  If I want to feel my good emotions, that's who I watch.  And sometimes, even my sad ones!",2019-06-28 11:09 +0000,40,0,0,0,0,2019,6,28,11,no
109,92800109,"@PeteButtigieg that last thought is not an original thought of mine, trump apparently plays that at his campaign, but a band actually sang it.  A bunch of bands actually.  Because, coverbands are amazing.",2019-06-28 11:09 +0000,32,0,0,0,0,2019,6,28,11,no
110,92800110,"@PeteButtigieg And no offense Pete... I don't care how nice the doghouse is in the white house... I have my priorities.  Happy wife, happy life.  And if you want a happy spouse, you don't give them what they want... you give them what they need.",2019-06-28 11:08 +0000,40,0,0,0,0,2019,6,28,11,no
111,92800111,@PeteButtigieg The best part about our secret inside joke is... we both know that it's funny and kind and gentle.  And proves we ACTUALLY DO know our significant others.  CRAP... I am being a bad significant other.  She needs sleep.,2019-06-28 11:07 +0000,53,0,0,0,0,2019,6,28,11,no
112,92800112,"@PeteButtigieg Because... yeah, our significant others should be the ones who cares for us the most.  We have veto power.  But we trust their judgment.  Almost like the president and congress!",2019-06-28 11:06 +0000,44,0,0,0,0,2019,6,28,11,no
113,92800113,"@PeteButtigieg This is the best dream to sleep to yet.  I am going to sleep like a baby!  And that will make my dog and girlfriend happy.

P.S. can we have a funny inside joke... like ""what, did your husband dress you"" because... it's hysterical.",2019-06-28 11:05 +0000,63,0,0,0,0,2019,6,28,11,no
114,92800114,"@PeteButtigieg Thank you pete.  Believe in yourself.  And you will be president.  I promise.  Well, with 95% accuracy.  Looking at you @NateSilver538.  Statistics are pretty cool.  I think someone said something about statistics and lies.",2019-06-28 11:04 +0000,40,0,0,0,0,2019,6,28,11,no
115,92800115,@PeteButtigieg and I need a service dog.  and sometimes I need a little extra time off so my brain doesn't go all crazy.  I felt a dream.  And I was bold.  I took a step.  I chose to stop listening to my inner critic and follow my heart.,2019-06-28 11:01 +0000,108,0,0,0,0,2019,6,28,11,no
116,92800116,@PeteButtigieg So I could finally feel safe enough to have a dream.  A dream where I wrote to you and you could feel my words through the internet.  And say that you are willing to give me a chance.  Because my resume is all messed up.,2019-06-28 11:00 +0000,35,0,0,0,0,2019,6,28,11,no
117,92800117,"@PeteButtigieg Where if you have good ideas, well bring experts along to help.  I know this from experience.  I have 6 experts on my team currently.  And countless of other helpers along the way.",2019-06-28 11:00 +0000,32,0,0,0,0,2019,6,28,11,no
